"","CMPLNT_FR_DT","count","d7_rollavg"
"1",2019-01-01,184,NA
"2",2019-01-02,115,NA
"3",2019-01-03,101,NA
"4",2019-01-04,120,NA
"5",2019-01-05,122,NA
"6",2019-01-06,109,NA
"7",2019-01-07,114,123.571428571429
"8",2019-01-08,104,112.142857142857
"9",2019-01-09,104,110.571428571429
"10",2019-01-10,99,110.285714285714
"11",2019-01-11,105,108.142857142857
"12",2019-01-12,113,106.857142857143
"13",2019-01-13,105,106.285714285714
"14",2019-01-14,90,102.857142857143
"15",2019-01-15,108,103.428571428571
"16",2019-01-16,116,105.142857142857
"17",2019-01-17,90,103.857142857143
"18",2019-01-18,123,106.428571428571
"19",2019-01-19,110,106
"20",2019-01-20,115,107.428571428571
"21",2019-01-21,86,106.857142857143
"22",2019-01-22,86,103.714285714286
"23",2019-01-23,114,103.428571428571
"24",2019-01-24,88,103.142857142857
"25",2019-01-25,117,102.285714285714
"26",2019-01-26,112,102.571428571429
"27",2019-01-27,104,101
"28",2019-01-28,110,104.428571428571
"29",2019-01-29,92,105.285714285714
"30",2019-01-30,81,100.571428571429
"31",2019-01-31,73,98.4285714285714
"32",2019-02-01,95,95.2857142857143
"33",2019-02-02,109,94.8571428571429
"34",2019-02-03,116,96.5714285714286
"35",2019-02-04,103,95.5714285714286
"36",2019-02-05,114,98.7142857142857
"37",2019-02-06,119,104.142857142857
"38",2019-02-07,104,108.571428571429
"39",2019-02-08,126,113
"40",2019-02-09,119,114.428571428571
"41",2019-02-10,130,116.428571428571
"42",2019-02-11,115,118.142857142857
"43",2019-02-12,101,116.285714285714
"44",2019-02-13,98,113.285714285714
"45",2019-02-14,106,113.571428571429
"46",2019-02-15,121,112.857142857143
"47",2019-02-16,134,115
"48",2019-02-17,127,114.571428571429
"49",2019-02-18,93,111.428571428571
"50",2019-02-19,105,112
"51",2019-02-20,95,111.571428571429
"52",2019-02-21,99,110.571428571429
"53",2019-02-22,89,106
"54",2019-02-23,115,103.285714285714
"55",2019-02-24,129,103.571428571429
"56",2019-02-25,91,103.285714285714
"57",2019-02-26,90,101.142857142857
"58",2019-02-27,111,103.428571428571
"59",2019-02-28,95,102.857142857143
"60",2019-03-01,104,105
"61",2019-03-02,100,102.857142857143
"62",2019-03-03,109,100
"63",2019-03-04,100,101.285714285714
"64",2019-03-05,89,101.142857142857
"65",2019-03-06,96,99
"66",2019-03-07,70,95.4285714285714
"67",2019-03-08,112,96.5714285714286
"68",2019-03-09,100,96.5714285714286
"69",2019-03-10,107,96.2857142857143
"70",2019-03-11,111,97.8571428571429
"71",2019-03-12,131,103.857142857143
"72",2019-03-13,108,105.571428571429
"73",2019-03-14,114,111.857142857143
"74",2019-03-15,130,114.428571428571
"75",2019-03-16,125,118
"76",2019-03-17,120,119.857142857143
"77",2019-03-18,102,118.571428571429
"78",2019-03-19,98,113.857142857143
"79",2019-03-20,89,111.142857142857
"80",2019-03-21,79,106.142857142857
"81",2019-03-22,115,104
"82",2019-03-23,106,101.285714285714
"83",2019-03-24,106,99.2857142857143
"84",2019-03-25,114,101
"85",2019-03-26,112,103
"86",2019-03-27,105,105.285714285714
"87",2019-03-28,107,109.285714285714
"88",2019-03-29,129,111.285714285714
"89",2019-03-30,128,114.428571428571
"90",2019-03-31,127,117.428571428571
"91",2019-04-01,104,116
"92",2019-04-02,108,115.428571428571
"93",2019-04-03,121,117.714285714286
"94",2019-04-04,95,116
"95",2019-04-05,124,115.285714285714
"96",2019-04-06,113,113.142857142857
"97",2019-04-07,137,114.571428571429
"98",2019-04-08,105,114.714285714286
"99",2019-04-09,113,115.428571428571
"100",2019-04-10,133,117.142857142857
"101",2019-04-11,123,121.142857142857
"102",2019-04-12,127,121.571428571429
"103",2019-04-13,142,125.714285714286
"104",2019-04-14,135,125.428571428571
"105",2019-04-15,116,127
"106",2019-04-16,120,128
"107",2019-04-17,119,126
"108",2019-04-18,134,127.571428571429
"109",2019-04-19,135,128.714285714286
"110",2019-04-20,149,129.714285714286
"111",2019-04-21,127,128.571428571429
"112",2019-04-22,99,126.142857142857
"113",2019-04-23,113,125.142857142857
"114",2019-04-24,127,126.285714285714
"115",2019-04-25,121,124.428571428571
"116",2019-04-26,110,120.857142857143
"117",2019-04-27,127,117.714285714286
"118",2019-04-28,130,118.142857142857
"119",2019-04-29,104,118.857142857143
"120",2019-04-30,124,120.428571428571
"121",2019-05-01,139,122.142857142857
"122",2019-05-02,123,122.428571428571
"123",2019-05-03,107,122
"124",2019-05-04,105,118.857142857143
"125",2019-05-05,111,116.142857142857
"126",2019-05-06,106,116.428571428571
"127",2019-05-07,140,118.714285714286
"128",2019-05-08,121,116.142857142857
"129",2019-05-09,126,116.571428571429
"130",2019-05-10,115,117.714285714286
"131",2019-05-11,150,124.142857142857
"132",2019-05-12,114,124.571428571429
"133",2019-05-13,98,123.428571428571
"134",2019-05-14,109,119
"135",2019-05-15,114,118
"136",2019-05-16,127,118.142857142857
"137",2019-05-17,133,120.714285714286
"138",2019-05-18,131,118
"139",2019-05-19,136,121.142857142857
"140",2019-05-20,141,127.285714285714
"141",2019-05-21,143,132.142857142857
"142",2019-05-22,129,134.285714285714
"143",2019-05-23,124,133.857142857143
"144",2019-05-24,129,133.285714285714
"145",2019-05-25,108,130
"146",2019-05-26,143,131
"147",2019-05-27,149,132.142857142857
"148",2019-05-28,139,131.571428571429
"149",2019-05-29,105,128.142857142857
"150",2019-05-30,109,126
"151",2019-05-31,156,129.857142857143
"152",2019-06-01,151,136
"153",2019-06-02,116,132.142857142857
"154",2019-06-03,124,128.571428571429
"155",2019-06-04,116,125.285714285714
"156",2019-06-05,112,126.285714285714
"157",2019-06-06,123,128.285714285714
"158",2019-06-07,128,124.285714285714
"159",2019-06-08,140,122.714285714286
"160",2019-06-09,129,124.571428571429
"161",2019-06-10,110,122.571428571429
"162",2019-06-11,135,125.285714285714
"163",2019-06-12,143,129.714285714286
"164",2019-06-13,119,129.142857142857
"165",2019-06-14,110,126.571428571429
"166",2019-06-15,143,127
"167",2019-06-16,144,129.142857142857
"168",2019-06-17,122,130.857142857143
"169",2019-06-18,116,128.142857142857
"170",2019-06-19,128,126
"171",2019-06-20,119,126
"172",2019-06-21,135,129.571428571429
"173",2019-06-22,148,130.285714285714
"174",2019-06-23,136,129.142857142857
"175",2019-06-24,126,129.714285714286
"176",2019-06-25,118,130
"177",2019-06-26,132,130.571428571429
"178",2019-06-27,114,129.857142857143
"179",2019-06-28,141,130.714285714286
"180",2019-06-29,147,130.571428571429
"181",2019-06-30,153,133
"182",2019-07-01,147,136
"183",2019-07-02,121,136.428571428571
"184",2019-07-03,118,134.428571428571
"185",2019-07-04,119,135.142857142857
"186",2019-07-05,169,139.142857142857
"187",2019-07-06,124,135.857142857143
"188",2019-07-07,165,137.571428571429
"189",2019-07-08,103,131.285714285714
"190",2019-07-09,124,131.714285714286
"191",2019-07-10,136,134.285714285714
"192",2019-07-11,125,135.142857142857
"193",2019-07-12,134,130.142857142857
"194",2019-07-13,139,132.285714285714
"195",2019-07-14,140,128.714285714286
"196",2019-07-15,142,134.285714285714
"197",2019-07-16,126,134.571428571429
"198",2019-07-17,127,133.285714285714
"199",2019-07-18,110,131.142857142857
"200",2019-07-19,128,130.285714285714
"201",2019-07-20,149,131.714285714286
"202",2019-07-21,135,131
"203",2019-07-22,122,128.142857142857
"204",2019-07-23,135,129.428571428571
"205",2019-07-24,134,130.428571428571
"206",2019-07-25,110,130.428571428571
"207",2019-07-26,128,130.428571428571
"208",2019-07-27,141,129.285714285714
"209",2019-07-28,159,132.714285714286
"210",2019-07-29,114,131.571428571429
"211",2019-07-30,115,128.714285714286
"212",2019-07-31,148,130.714285714286
"213",2019-08-01,145,135.714285714286
"214",2019-08-02,137,137
"215",2019-08-03,128,135.142857142857
"216",2019-08-04,144,133
"217",2019-08-05,129,135.142857142857
"218",2019-08-06,113,134.857142857143
"219",2019-08-07,144,134.285714285714
"220",2019-08-08,134,132.714285714286
"221",2019-08-09,122,130.571428571429
"222",2019-08-10,132,131.142857142857
"223",2019-08-11,130,129.142857142857
"224",2019-08-12,130,129.285714285714
"225",2019-08-13,145,133.857142857143
"226",2019-08-14,132,132.142857142857
"227",2019-08-15,125,130.857142857143
"228",2019-08-16,126,131.428571428571
"229",2019-08-17,138,132.285714285714
"230",2019-08-18,138,133.428571428571
"231",2019-08-19,121,132.142857142857
"232",2019-08-20,121,128.714285714286
"233",2019-08-21,114,126.142857142857
"234",2019-08-22,129,126.714285714286
"235",2019-08-23,125,126.571428571429
"236",2019-08-24,146,127.714285714286
"237",2019-08-25,127,126.142857142857
"238",2019-08-26,139,128.714285714286
"239",2019-08-27,134,130.571428571429
"240",2019-08-28,119,131.285714285714
"241",2019-08-29,131,131.571428571429
"242",2019-08-30,150,135.142857142857
"243",2019-08-31,115,130.714285714286
"244",2019-09-01,121,129.857142857143
"245",2019-09-02,111,125.857142857143
"246",2019-09-03,123,124.285714285714
"247",2019-09-04,112,123.285714285714
"248",2019-09-05,126,122.571428571429
"249",2019-09-06,124,118.857142857143
"250",2019-09-07,137,122
"251",2019-09-08,171,129.142857142857
"252",2019-09-09,143,133.714285714286
"253",2019-09-10,116,132.714285714286
"254",2019-09-11,127,134.857142857143
"255",2019-09-12,136,136.285714285714
"256",2019-09-13,131,137.285714285714
"257",2019-09-14,121,135
"258",2019-09-15,134,129.714285714286
"259",2019-09-16,114,125.571428571429
"260",2019-09-17,114,125.285714285714
"261",2019-09-18,123,124.714285714286
"262",2019-09-19,113,121.428571428571
"263",2019-09-20,149,124
"264",2019-09-21,143,127.142857142857
"265",2019-09-22,142,128.285714285714
"266",2019-09-23,125,129.857142857143
"267",2019-09-24,124,131.285714285714
"268",2019-09-25,111,129.571428571429
"269",2019-09-26,125,131.285714285714
"270",2019-09-27,140,130
"271",2019-09-28,145,130.285714285714
"272",2019-09-29,151,131.571428571429
"273",2019-09-30,126,131.714285714286
"274",2019-10-01,139,133.857142857143
"275",2019-10-02,124,135.714285714286
"276",2019-10-03,109,133.428571428571
"277",2019-10-04,134,132.571428571429
"278",2019-10-05,110,127.571428571429
"279",2019-10-06,121,123.285714285714
"280",2019-10-07,106,120.428571428571
"281",2019-10-08,132,119.428571428571
"282",2019-10-09,103,116.428571428571
"283",2019-10-10,116,117.428571428571
"284",2019-10-11,140,118.285714285714
"285",2019-10-12,129,121
"286",2019-10-13,131,122.428571428571
"287",2019-10-14,130,125.857142857143
"288",2019-10-15,114,123.285714285714
"289",2019-10-16,104,123.428571428571
"290",2019-10-17,119,123.857142857143
"291",2019-10-18,110,119.571428571429
"292",2019-10-19,125,119
"293",2019-10-20,125,118.142857142857
"294",2019-10-21,113,115.714285714286
"295",2019-10-22,132,118.285714285714
"296",2019-10-23,124,121.142857142857
"297",2019-10-24,116,120.714285714286
"298",2019-10-25,139,124.857142857143
"299",2019-10-26,126,125
"300",2019-10-27,134,126.285714285714
"301",2019-10-28,123,127.714285714286
"302",2019-10-29,111,124.714285714286
"303",2019-10-30,115,123.428571428571
"304",2019-10-31,149,128.142857142857
"305",2019-11-01,155,130.428571428571
"306",2019-11-02,129,130.857142857143
"307",2019-11-03,103,126.428571428571
"308",2019-11-04,124,126.571428571429
"309",2019-11-05,104,125.571428571429
"310",2019-11-06,111,125
"311",2019-11-07,112,119.714285714286
"312",2019-11-08,113,113.714285714286
"313",2019-11-09,100,109.571428571429
"314",2019-11-10,128,113.142857142857
"315",2019-11-11,125,113.285714285714
"316",2019-11-12,101,112.857142857143
"317",2019-11-13,111,112.857142857143
"318",2019-11-14,91,109.857142857143
"319",2019-11-15,110,109.428571428571
"320",2019-11-16,127,113.285714285714
"321",2019-11-17,125,112.857142857143
"322",2019-11-18,121,112.285714285714
"323",2019-11-19,118,114.714285714286
"324",2019-11-20,144,119.428571428571
"325",2019-11-21,127,124.571428571429
"326",2019-11-22,116,125.428571428571
"327",2019-11-23,125,125.142857142857
"328",2019-11-24,98,121.285714285714
"329",2019-11-25,131,122.714285714286
"330",2019-11-26,134,125
"331",2019-11-27,134,123.571428571429
"332",2019-11-28,103,120.142857142857
"333",2019-11-29,98,117.571428571429
"334",2019-11-30,131,118.428571428571
"335",2019-12-01,145,125.142857142857
"336",2019-12-02,125,124.285714285714
"337",2019-12-03,108,120.571428571429
"338",2019-12-04,120,118.571428571429
"339",2019-12-05,102,118.428571428571
"340",2019-12-06,124,122.142857142857
"341",2019-12-07,125,121.285714285714
"342",2019-12-08,134,119.714285714286
"343",2019-12-09,103,116.571428571429
"344",2019-12-10,131,119.857142857143
"345",2019-12-11,105,117.714285714286
"346",2019-12-12,127,121.285714285714
"347",2019-12-13,119,120.571428571429
"348",2019-12-14,135,122
"349",2019-12-15,128,121.142857142857
"350",2019-12-16,122,123.857142857143
"351",2019-12-17,101,119.571428571429
"352",2019-12-18,103,119.285714285714
"353",2019-12-19,105,116.142857142857
"354",2019-12-20,113,115.285714285714
"355",2019-12-21,117,112.714285714286
"356",2019-12-22,121,111.714285714286
"357",2019-12-23,112,110.285714285714
"358",2019-12-24,105,110.857142857143
"359",2019-12-25,97,110
"360",2019-12-26,108,110.428571428571
"361",2019-12-27,78,105.428571428571
"362",2019-12-28,114,105
"363",2019-12-29,107,103
"364",2019-12-30,106,102.142857142857
"365",2019-12-31,103,101.857142857143
"366",2020-01-01,185,114.428571428571
"367",2020-01-02,115,115.428571428571
"368",2020-01-03,118,121.142857142857
"369",2020-01-04,94,118.285714285714
"370",2020-01-05,100,117.285714285714
"371",2020-01-06,126,120.142857142857
"372",2020-01-07,108,120.857142857143
"373",2020-01-08,102,109
"374",2020-01-09,106,107.714285714286
"375",2020-01-10,110,106.571428571429
"376",2020-01-11,116,109.714285714286
"377",2020-01-12,111,111.285714285714
"378",2020-01-13,110,109
"379",2020-01-14,109,109.142857142857
"380",2020-01-15,109,110.142857142857
"381",2020-01-16,123,112.571428571429
"382",2020-01-17,124,114.571428571429
"383",2020-01-18,101,112.428571428571
"384",2020-01-19,104,111.428571428571
"385",2020-01-20,104,110.571428571429
"386",2020-01-21,96,108.714285714286
"387",2020-01-22,107,108.428571428571
"388",2020-01-23,106,106
"389",2020-01-24,108,103.714285714286
"390",2020-01-25,117,106
"391",2020-01-26,132,110
"392",2020-01-27,117,111.857142857143
"393",2020-01-28,131,116.857142857143
"394",2020-01-29,121,118.857142857143
"395",2020-01-30,99,117.857142857143
"396",2020-01-31,135,121.714285714286
"397",2020-02-01,128,123.285714285714
"398",2020-02-02,111,120.285714285714
"399",2020-02-03,130,122.142857142857
"400",2020-02-04,109,119
"401",2020-02-05,129,120.142857142857
"402",2020-02-06,123,123.571428571429
"403",2020-02-07,98,118.285714285714
"404",2020-02-08,125,117.857142857143
"405",2020-02-09,124,119.714285714286
"406",2020-02-10,139,121
"407",2020-02-11,113,121.571428571429
"408",2020-02-12,112,119.142857142857
"409",2020-02-13,108,117
"410",2020-02-14,128,121.285714285714
"411",2020-02-15,110,119.142857142857
"412",2020-02-16,116,118
"413",2020-02-17,115,114.571428571429
"414",2020-02-18,135,117.714285714286
"415",2020-02-19,122,119.142857142857
"416",2020-02-20,97,117.571428571429
"417",2020-02-21,120,116.428571428571
"418",2020-02-22,122,118.142857142857
"419",2020-02-23,139,121.428571428571
"420",2020-02-24,113,121.142857142857
"421",2020-02-25,117,118.571428571429
"422",2020-02-26,106,116.285714285714
"423",2020-02-27,100,116.714285714286
"424",2020-02-28,105,114.571428571429
"425",2020-02-29,120,114.285714285714
"426",2020-03-01,136,113.857142857143
"427",2020-03-02,96,111.428571428571
"428",2020-03-03,112,110.714285714286
"429",2020-03-04,100,109.857142857143
"430",2020-03-05,114,111.857142857143
"431",2020-03-06,110,112.571428571429
"432",2020-03-07,128,113.714285714286
"433",2020-03-08,154,116.285714285714
"434",2020-03-09,101,117
"435",2020-03-10,122,118.428571428571
"436",2020-03-11,144,124.714285714286
"437",2020-03-12,134,127.571428571429
"438",2020-03-13,123,129.428571428571
"439",2020-03-14,115,127.571428571429
"440",2020-03-15,118,122.428571428571
"441",2020-03-16,114,124.285714285714
"442",2020-03-17,80,118.285714285714
"443",2020-03-18,105,112.714285714286
"444",2020-03-19,90,106.428571428571
"445",2020-03-20,89,101.571428571429
"446",2020-03-21,87,97.5714285714286
"447",2020-03-22,73,91.1428571428571
"448",2020-03-23,67,84.4285714285714
"449",2020-03-24,74,83.5714285714286
"450",2020-03-25,83,80.4285714285714
"451",2020-03-26,81,79.1428571428571
"452",2020-03-27,86,78.7142857142857
"453",2020-03-28,75,77
"454",2020-03-29,45,73
"455",2020-03-30,72,73.7142857142857
"456",2020-03-31,71,73.2857142857143
"457",2020-04-01,84,73.4285714285714
"458",2020-04-02,69,71.7142857142857
"459",2020-04-03,57,67.5714285714286
