"","CMPLNT_FR_DT","count","d7_rollavg"
"1",2019-01-01,80,NA
"2",2019-01-02,58,NA
"3",2019-01-03,60,NA
"4",2019-01-04,55,NA
"5",2019-01-05,40,NA
"6",2019-01-06,41,NA
"7",2019-01-07,46,54.2857142857143
"8",2019-01-08,53,50.4285714285714
"9",2019-01-09,49,49.1428571428571
"10",2019-01-10,55,48.4285714285714
"11",2019-01-11,69,50.4285714285714
"12",2019-01-12,39,50.2857142857143
"13",2019-01-13,33,49.1428571428571
"14",2019-01-14,51,49.8571428571429
"15",2019-01-15,53,49.8571428571429
"16",2019-01-16,54,50.5714285714286
"17",2019-01-17,55,50.5714285714286
"18",2019-01-18,58,49
"19",2019-01-19,51,50.7142857142857
"20",2019-01-20,43,52.1428571428571
"21",2019-01-21,33,49.5714285714286
"22",2019-01-22,53,49.5714285714286
"23",2019-01-23,43,48
"24",2019-01-24,62,49
"25",2019-01-25,58,49
"26",2019-01-26,38,47.1428571428571
"27",2019-01-27,33,45.7142857142857
"28",2019-01-28,46,47.5714285714286
"29",2019-01-29,44,46.2857142857143
"30",2019-01-30,57,48.2857142857143
"31",2019-01-31,32,44
"32",2019-02-01,68,45.4285714285714
"33",2019-02-02,43,46.1428571428571
"34",2019-02-03,47,48.1428571428571
"35",2019-02-04,54,49.2857142857143
"36",2019-02-05,48,49.8571428571429
"37",2019-02-06,53,49.2857142857143
"38",2019-02-07,39,50.2857142857143
"39",2019-02-08,53,48.1428571428571
"40",2019-02-09,44,48.2857142857143
"41",2019-02-10,35,46.5714285714286
"42",2019-02-11,62,47.7142857142857
"43",2019-02-12,28,44.8571428571429
"44",2019-02-13,42,43.2857142857143
"45",2019-02-14,63,46.7142857142857
"46",2019-02-15,66,48.5714285714286
"47",2019-02-16,36,47.4285714285714
"48",2019-02-17,38,47.8571428571429
"49",2019-02-18,28,43
"50",2019-02-19,56,47
"51",2019-02-20,40,46.7142857142857
"52",2019-02-21,55,45.5714285714286
"53",2019-02-22,59,44.5714285714286
"54",2019-02-23,35,44.4285714285714
"55",2019-02-24,32,43.5714285714286
"56",2019-02-25,54,47.2857142857143
"57",2019-02-26,39,44.8571428571429
"58",2019-02-27,48,46
"59",2019-02-28,45,44.5714285714286
"60",2019-03-01,56,44.1428571428571
"61",2019-03-02,36,44.2857142857143
"62",2019-03-03,44,46
"63",2019-03-04,44,44.5714285714286
"64",2019-03-05,69,48.8571428571429
"65",2019-03-06,48,48.8571428571429
"66",2019-03-07,46,49
"67",2019-03-08,48,47.8571428571429
"68",2019-03-09,50,49.8571428571429
"69",2019-03-10,46,50.1428571428571
"70",2019-03-11,56,51.8571428571429
"71",2019-03-12,58,50.2857142857143
"72",2019-03-13,48,50.2857142857143
"73",2019-03-14,43,49.8571428571429
"74",2019-03-15,55,50.8571428571429
"75",2019-03-16,40,49.4285714285714
"76",2019-03-17,33,47.5714285714286
"77",2019-03-18,45,46
"78",2019-03-19,52,45.1428571428571
"79",2019-03-20,56,46.2857142857143
"80",2019-03-21,44,46.4285714285714
"81",2019-03-22,49,45.5714285714286
"82",2019-03-23,35,44.8571428571429
"83",2019-03-24,47,46.8571428571429
"84",2019-03-25,54,48.1428571428571
"85",2019-03-26,58,49
"86",2019-03-27,50,48.1428571428571
"87",2019-03-28,56,49.8571428571429
"88",2019-03-29,53,50.4285714285714
"89",2019-03-30,50,52.5714285714286
"90",2019-03-31,43,52
"91",2019-04-01,62,53.1428571428571
"92",2019-04-02,49,51.8571428571429
"93",2019-04-03,50,51.8571428571429
"94",2019-04-04,66,53.2857142857143
"95",2019-04-05,54,53.4285714285714
"96",2019-04-06,47,53
"97",2019-04-07,45,53.2857142857143
"98",2019-04-08,58,52.7142857142857
"99",2019-04-09,34,50.5714285714286
"100",2019-04-10,55,51.2857142857143
"101",2019-04-11,50,49
"102",2019-04-12,47,48
"103",2019-04-13,52,48.7142857142857
"104",2019-04-14,44,48.5714285714286
"105",2019-04-15,58,48.5714285714286
"106",2019-04-16,58,52
"107",2019-04-17,52,51.5714285714286
"108",2019-04-18,52,51.8571428571429
"109",2019-04-19,48,52
"110",2019-04-20,55,52.4285714285714
"111",2019-04-21,39,51.7142857142857
"112",2019-04-22,42,49.4285714285714
"113",2019-04-23,43,47.2857142857143
"114",2019-04-24,59,48.2857142857143
"115",2019-04-25,39,46.4285714285714
"116",2019-04-26,42,45.5714285714286
"117",2019-04-27,47,44.4285714285714
"118",2019-04-28,47,45.5714285714286
"119",2019-04-29,56,47.5714285714286
"120",2019-04-30,55,49.2857142857143
"121",2019-05-01,80,52.2857142857143
"122",2019-05-02,57,54.8571428571429
"123",2019-05-03,54,56.5714285714286
"124",2019-05-04,36,55
"125",2019-05-05,41,54.1428571428571
"126",2019-05-06,54,53.8571428571429
"127",2019-05-07,50,53.1428571428571
"128",2019-05-08,55,49.5714285714286
"129",2019-05-09,40,47.1428571428571
"130",2019-05-10,53,47
"131",2019-05-11,48,48.7142857142857
"132",2019-05-12,37,48.1428571428571
"133",2019-05-13,48,47.2857142857143
"134",2019-05-14,34,45
"135",2019-05-15,56,45.1428571428571
"136",2019-05-16,45,45.8571428571429
"137",2019-05-17,54,46
"138",2019-05-18,53,46.7142857142857
"139",2019-05-19,36,46.5714285714286
"140",2019-05-20,58,48
"141",2019-05-21,47,49.8571428571429
"142",2019-05-22,49,48.8571428571429
"143",2019-05-23,56,50.4285714285714
"144",2019-05-24,52,50.1428571428571
"145",2019-05-25,73,53
"146",2019-05-26,46,54.4285714285714
"147",2019-05-27,40,51.8571428571429
"148",2019-05-28,63,54.1428571428571
"149",2019-05-29,55,55
"150",2019-05-30,60,55.5714285714286
"151",2019-05-31,55,56
"152",2019-06-01,73,56
"153",2019-06-02,52,56.8571428571429
"154",2019-06-03,50,58.2857142857143
"155",2019-06-04,57,57.4285714285714
"156",2019-06-05,67,59.1428571428571
"157",2019-06-06,56,58.5714285714286
"158",2019-06-07,61,59.4285714285714
"159",2019-06-08,48,55.8571428571429
"160",2019-06-09,43,54.5714285714286
"161",2019-06-10,64,56.5714285714286
"162",2019-06-11,53,56
"163",2019-06-12,63,55.4285714285714
"164",2019-06-13,58,55.7142857142857
"165",2019-06-14,59,55.4285714285714
"166",2019-06-15,57,56.7142857142857
"167",2019-06-16,45,57
"168",2019-06-17,54,55.5714285714286
"169",2019-06-18,66,57.4285714285714
"170",2019-06-19,58,56.7142857142857
"171",2019-06-20,63,57.4285714285714
"172",2019-06-21,46,55.5714285714286
"173",2019-06-22,50,54.5714285714286
"174",2019-06-23,52,55.5714285714286
"175",2019-06-24,70,57.8571428571429
"176",2019-06-25,58,56.7142857142857
"177",2019-06-26,68,58.1428571428571
"178",2019-06-27,61,57.8571428571429
"179",2019-06-28,62,60.1428571428571
"180",2019-06-29,53,60.5714285714286
"181",2019-06-30,42,59.1428571428571
"182",2019-07-01,110,64.8571428571429
"183",2019-07-02,61,65.2857142857143
"184",2019-07-03,47,62.2857142857143
"185",2019-07-04,59,62
"186",2019-07-05,53,60.7142857142857
"187",2019-07-06,40,58.8571428571429
"188",2019-07-07,44,59.1428571428571
"189",2019-07-08,70,53.4285714285714
"190",2019-07-09,64,53.8571428571429
"191",2019-07-10,71,57.2857142857143
"192",2019-07-11,69,58.7142857142857
"193",2019-07-12,72,61.4285714285714
"194",2019-07-13,47,62.4285714285714
"195",2019-07-14,51,63.4285714285714
"196",2019-07-15,72,63.7142857142857
"197",2019-07-16,65,63.8571428571429
"198",2019-07-17,56,61.7142857142857
"199",2019-07-18,52,59.2857142857143
"200",2019-07-19,57,57.1428571428571
"201",2019-07-20,52,57.8571428571429
"202",2019-07-21,58,58.8571428571429
"203",2019-07-22,51,55.8571428571429
"204",2019-07-23,59,55
"205",2019-07-24,48,53.8571428571429
"206",2019-07-25,63,55.4285714285714
"207",2019-07-26,66,56.7142857142857
"208",2019-07-27,57,57.4285714285714
"209",2019-07-28,59,57.5714285714286
"210",2019-07-29,58,58.5714285714286
"211",2019-07-30,63,59.1428571428571
"212",2019-07-31,50,59.4285714285714
"213",2019-08-01,101,64.8571428571429
"214",2019-08-02,67,65
"215",2019-08-03,69,66.7142857142857
"216",2019-08-04,65,67.5714285714286
"217",2019-08-05,63,68.2857142857143
"218",2019-08-06,56,67.2857142857143
"219",2019-08-07,50,67.2857142857143
"220",2019-08-08,75,63.5714285714286
"221",2019-08-09,59,62.4285714285714
"222",2019-08-10,61,61.2857142857143
"223",2019-08-11,45,58.4285714285714
"224",2019-08-12,51,56.7142857142857
"225",2019-08-13,62,57.5714285714286
"226",2019-08-14,52,57.8571428571429
"227",2019-08-15,79,58.4285714285714
"228",2019-08-16,65,59.2857142857143
"229",2019-08-17,62,59.4285714285714
"230",2019-08-18,41,58.8571428571429
"231",2019-08-19,33,56.2857142857143
"232",2019-08-20,68,57.1428571428571
"233",2019-08-21,66,59.1428571428571
"234",2019-08-22,61,56.5714285714286
"235",2019-08-23,58,55.5714285714286
"236",2019-08-24,48,53.5714285714286
"237",2019-08-25,42,53.7142857142857
"238",2019-08-26,61,57.7142857142857
"239",2019-08-27,72,58.2857142857143
"240",2019-08-28,61,57.5714285714286
"241",2019-08-29,62,57.7142857142857
"242",2019-08-30,71,59.5714285714286
"243",2019-08-31,41,58.5714285714286
"244",2019-09-01,69,62.4285714285714
"245",2019-09-02,54,61.4285714285714
"246",2019-09-03,55,59
"247",2019-09-04,62,59.1428571428571
"248",2019-09-05,63,59.2857142857143
"249",2019-09-06,52,56.5714285714286
"250",2019-09-07,40,56.4285714285714
"251",2019-09-08,47,53.2857142857143
"252",2019-09-09,55,53.4285714285714
"253",2019-09-10,60,54.1428571428571
"254",2019-09-11,71,55.4285714285714
"255",2019-09-12,62,55.2857142857143
"256",2019-09-13,74,58.4285714285714
"257",2019-09-14,61,61.4285714285714
"258",2019-09-15,51,62
"259",2019-09-16,68,63.8571428571429
"260",2019-09-17,47,62
"261",2019-09-18,58,60.1428571428571
"262",2019-09-19,67,60.8571428571429
"263",2019-09-20,52,57.7142857142857
"264",2019-09-21,48,55.8571428571429
"265",2019-09-22,66,58
"266",2019-09-23,63,57.2857142857143
"267",2019-09-24,52,58
"268",2019-09-25,72,60
"269",2019-09-26,57,58.5714285714286
"270",2019-09-27,77,62.1428571428571
