"","CMPLNT_FR_DT","count","d7_rollavg"
"1",2019-01-01,114,NA
"2",2019-01-02,86,NA
"3",2019-01-03,78,NA
"4",2019-01-04,105,NA
"5",2019-01-05,84,NA
"6",2019-01-06,88,NA
"7",2019-01-07,88,91.8571428571429
"8",2019-01-08,91,88.5714285714286
"9",2019-01-09,94,89.7142857142857
"10",2019-01-10,81,90.1428571428571
"11",2019-01-11,72,85.4285714285714
"12",2019-01-12,78,84.5714285714286
"13",2019-01-13,82,83.7142857142857
"14",2019-01-14,76,82
"15",2019-01-15,92,82.1428571428571
"16",2019-01-16,84,80.7142857142857
"17",2019-01-17,90,82
"18",2019-01-18,87,84.1428571428571
"19",2019-01-19,89,85.7142857142857
"20",2019-01-20,64,83.1428571428571
"21",2019-01-21,48,79.1428571428571
"22",2019-01-22,74,76.5714285714286
"23",2019-01-23,93,77.8571428571429
"24",2019-01-24,64,74.1428571428571
"25",2019-01-25,96,75.4285714285714
"26",2019-01-26,75,73.4285714285714
"27",2019-01-27,70,74.2857142857143
"28",2019-01-28,68,77.1428571428571
"29",2019-01-29,71,76.7142857142857
"30",2019-01-30,58,71.7142857142857
"31",2019-01-31,70,72.5714285714286
"32",2019-02-01,94,72.2857142857143
"33",2019-02-02,87,74
"34",2019-02-03,82,75.7142857142857
"35",2019-02-04,80,77.4285714285714
"36",2019-02-05,80,78.7142857142857
"37",2019-02-06,77,81.4285714285714
"38",2019-02-07,87,83.8571428571429
"39",2019-02-08,91,83.4285714285714
"40",2019-02-09,97,84.8571428571429
"41",2019-02-10,88,85.7142857142857
"42",2019-02-11,87,86.7142857142857
"43",2019-02-12,89,88
"44",2019-02-13,92,90.1428571428571
"45",2019-02-14,94,91.1428571428571
"46",2019-02-15,96,91.8571428571429
"47",2019-02-16,69,87.8571428571429
"48",2019-02-17,80,86.7142857142857
"49",2019-02-18,86,86.5714285714286
"50",2019-02-19,67,83.4285714285714
"51",2019-02-20,85,82.4285714285714
"52",2019-02-21,76,79.8571428571429
"53",2019-02-22,86,78.4285714285714
"54",2019-02-23,91,81.5714285714286
"55",2019-02-24,77,81.1428571428571
"56",2019-02-25,79,80.1428571428571
"57",2019-02-26,63,79.5714285714286
"58",2019-02-27,78,78.5714285714286
"59",2019-02-28,94,81.1428571428571
"60",2019-03-01,104,83.7142857142857
"61",2019-03-02,80,82.1428571428571
"62",2019-03-03,93,84.4285714285714
"63",2019-03-04,79,84.4285714285714
"64",2019-03-05,86,87.7142857142857
"65",2019-03-06,63,85.5714285714286
"66",2019-03-07,77,83.1428571428571
"67",2019-03-08,89,81
"68",2019-03-09,84,81.5714285714286
"69",2019-03-10,71,78.4285714285714
"70",2019-03-11,99,81.2857142857143
"71",2019-03-12,75,79.7142857142857
"72",2019-03-13,82,82.4285714285714
"73",2019-03-14,73,81.8571428571429
"74",2019-03-15,86,81.4285714285714
"75",2019-03-16,91,82.4285714285714
"76",2019-03-17,87,84.7142857142857
"77",2019-03-18,84,82.5714285714286
"78",2019-03-19,68,81.5714285714286
"79",2019-03-20,87,82.2857142857143
"80",2019-03-21,66,81.2857142857143
"81",2019-03-22,85,81.1428571428571
