"","CMPLNT_FR_DT","count","d7_rollavg"
"1",2019-01-01,470,NA
"2",2019-01-02,311,NA
"3",2019-01-03,323,NA
"4",2019-01-04,344,NA
"5",2019-01-05,268,NA
"6",2019-01-06,251,NA
"7",2019-01-07,268,319.285714285714
"8",2019-01-08,265,290
"9",2019-01-09,288,286.714285714286
"10",2019-01-10,289,281.857142857143
"11",2019-01-11,313,277.428571428571
"12",2019-01-12,267,277.285714285714
"13",2019-01-13,243,276.142857142857
"14",2019-01-14,289,279.142857142857
"15",2019-01-15,309,285.428571428571
"16",2019-01-16,271,283
"17",2019-01-17,278,281.428571428571
"18",2019-01-18,302,279.857142857143
"19",2019-01-19,251,277.571428571429
"20",2019-01-20,271,281.571428571429
"21",2019-01-21,201,269
"22",2019-01-22,254,261.142857142857
"23",2019-01-23,254,258.714285714286
"24",2019-01-24,290,260.428571428571
"25",2019-01-25,298,259.857142857143
"26",2019-01-26,287,265
"27",2019-01-27,273,265.285714285714
"28",2019-01-28,295,278.714285714286
"29",2019-01-29,277,282
"30",2019-01-30,276,285.142857142857
"31",2019-01-31,202,272.571428571429
"32",2019-02-01,368,282.571428571429
"33",2019-02-02,289,282.857142857143
"34",2019-02-03,251,279.714285714286
"35",2019-02-04,333,285.142857142857
"36",2019-02-05,267,283.714285714286
"37",2019-02-06,303,287.571428571429
"38",2019-02-07,268,297
"39",2019-02-08,325,290.857142857143
"40",2019-02-09,279,289.428571428571
"41",2019-02-10,275,292.857142857143
"42",2019-02-11,306,289
"43",2019-02-12,258,287.714285714286
"44",2019-02-13,264,282.142857142857
"45",2019-02-14,298,286.428571428571
"46",2019-02-15,314,284.857142857143
"47",2019-02-16,290,286.428571428571
"48",2019-02-17,260,284.285714285714
"49",2019-02-18,252,276.571428571429
"50",2019-02-19,292,281.428571428571
"51",2019-02-20,265,281.571428571429
"52",2019-02-21,279,278.857142857143
"53",2019-02-22,287,275
"54",2019-02-23,304,277
"55",2019-02-24,262,277.285714285714
"56",2019-02-25,255,277.714285714286
"57",2019-02-26,253,272.142857142857
"58",2019-02-27,279,274.142857142857
"59",2019-02-28,285,275
"60",2019-03-01,342,282.857142857143
"61",2019-03-02,300,282.285714285714
"62",2019-03-03,268,283.142857142857
"63",2019-03-04,220,278.142857142857
"64",2019-03-05,279,281.857142857143
"65",2019-03-06,257,278.714285714286
"66",2019-03-07,258,274.857142857143
"67",2019-03-08,294,268
"68",2019-03-09,268,263.428571428571
"69",2019-03-10,284,265.714285714286
"70",2019-03-11,314,279.142857142857
"71",2019-03-12,304,282.714285714286
"72",2019-03-13,321,291.857142857143
"73",2019-03-14,294,297
"74",2019-03-15,382,309.571428571429
"75",2019-03-16,289,312.571428571429
"76",2019-03-17,285,312.714285714286
"77",2019-03-18,293,309.714285714286
"78",2019-03-19,281,306.428571428571
"79",2019-03-20,301,303.571428571429
"80",2019-03-21,284,302.142857142857
"81",2019-03-22,328,294.428571428571
"82",2019-03-23,279,293
"83",2019-03-24,247,287.571428571429
"84",2019-03-25,307,289.571428571429
"85",2019-03-26,308,293.428571428571
"86",2019-03-27,282,290.714285714286
"87",2019-03-28,316,295.285714285714
"88",2019-03-29,338,296.714285714286
"89",2019-03-30,306,300.571428571429
"90",2019-03-31,314,310.142857142857
"91",2019-04-01,341,315
"92",2019-04-02,332,318.428571428571
"93",2019-04-03,317,323.428571428571
"94",2019-04-04,306,322
"95",2019-04-05,310,318
"96",2019-04-06,320,320
"97",2019-04-07,291,316.714285714286
"98",2019-04-08,346,317.428571428571
"99",2019-04-09,322,316
"100",2019-04-10,335,318.571428571429
"101",2019-04-11,288,316
"102",2019-04-12,310,316
"103",2019-04-13,328,317.142857142857
"104",2019-04-14,303,318.857142857143
"105",2019-04-15,289,310.714285714286
"106",2019-04-16,319,310.285714285714
"107",2019-04-17,313,307.142857142857
"108",2019-04-18,284,306.571428571429
"109",2019-04-19,342,311.142857142857
"110",2019-04-20,310,308.571428571429
"111",2019-04-21,281,305.428571428571
"112",2019-04-22,273,303.142857142857
"113",2019-04-23,311,302
"114",2019-04-24,320,303
"115",2019-04-25,280,302.428571428571
"116",2019-04-26,281,293.714285714286
"117",2019-04-27,314,294.285714285714
"118",2019-04-28,309,298.285714285714
"119",2019-04-29,347,308.857142857143
"120",2019-04-30,319,310
"121",2019-05-01,374,317.714285714286
"122",2019-05-02,342,326.571428571429
"123",2019-05-03,321,332.285714285714
"124",2019-05-04,303,330.714285714286
"125",2019-05-05,279,326.428571428571
"126",2019-05-06,311,321.285714285714
"127",2019-05-07,341,324.428571428571
