"","CMPLNT_FR_DT","count","d7_rollavg"
"1",2019-01-01,354,NA
"2",2019-01-02,176,NA
"3",2019-01-03,190,NA
"4",2019-01-04,202,NA
"5",2019-01-05,226,NA
"6",2019-01-06,201,NA
"7",2019-01-07,223,224.571428571429
"8",2019-01-08,191,201.285714285714
"9",2019-01-09,199,204.571428571429
"10",2019-01-10,191,204.714285714286
"11",2019-01-11,204,205
"12",2019-01-12,214,203.285714285714
"13",2019-01-13,198,202.857142857143
"14",2019-01-14,181,196.857142857143
"15",2019-01-15,178,195
"16",2019-01-16,205,195.857142857143
"17",2019-01-17,178,194
"18",2019-01-18,202,193.714285714286
"19",2019-01-19,197,191.285714285714
"20",2019-01-20,153,184.857142857143
"21",2019-01-21,149,180.285714285714
"22",2019-01-22,159,177.571428571429
"23",2019-01-23,183,174.428571428571
"24",2019-01-24,186,175.571428571429
"25",2019-01-25,222,178.428571428571
"26",2019-01-26,193,177.857142857143
"27",2019-01-27,181,181.857142857143
"28",2019-01-28,185,187
"29",2019-01-29,176,189.428571428571
"30",2019-01-30,161,186.285714285714
"31",2019-01-31,146,180.571428571429
"32",2019-02-01,226,181.142857142857
"33",2019-02-02,207,183.142857142857
"34",2019-02-03,217,188.285714285714
"35",2019-02-04,218,193
"36",2019-02-05,190,195
"37",2019-02-06,193,199.571428571429
"38",2019-02-07,199,207.142857142857
"39",2019-02-08,237,208.714285714286
"40",2019-02-09,213,209.571428571429
"41",2019-02-10,201,207.285714285714
"42",2019-02-11,188,203
"43",2019-02-12,188,202.714285714286
"44",2019-02-13,183,201.285714285714
"45",2019-02-14,202,201.714285714286
"46",2019-02-15,251,203.714285714286
"47",2019-02-16,219,204.571428571429
"48",2019-02-17,209,205.714285714286
"49",2019-02-18,192,206.285714285714
"50",2019-02-19,198,207.714285714286
"51",2019-02-20,169,205.714285714286
"52",2019-02-21,179,202.428571428571
"53",2019-02-22,172,191.142857142857
"54",2019-02-23,185,186.285714285714
"55",2019-02-24,225,188.571428571429
"56",2019-02-25,169,185.285714285714
"57",2019-02-26,157,179.428571428571
"58",2019-02-27,177,180.571428571429
"59",2019-02-28,206,184.428571428571
"60",2019-03-01,238,193.857142857143
"61",2019-03-02,175,192.428571428571
"62",2019-03-03,209,190.142857142857
"63",2019-03-04,189,193
"64",2019-03-05,179,196.142857142857
"65",2019-03-06,183,197
"66",2019-03-07,161,190.571428571429
"67",2019-03-08,179,182.142857142857
"68",2019-03-09,213,187.571428571429
"69",2019-03-10,233,191
"70",2019-03-11,204,193.142857142857
"71",2019-03-12,209,197.428571428571
"72",2019-03-13,164,194.714285714286
"73",2019-03-14,187,198.428571428571
"74",2019-03-15,221,204.428571428571
"75",2019-03-16,226,206.285714285714
"76",2019-03-17,207,202.571428571429
"77",2019-03-18,207,203
"78",2019-03-19,177,198.428571428571
"79",2019-03-20,203,204
"80",2019-03-21,173,202
"81",2019-03-22,189,197.428571428571
"82",2019-03-23,214,195.714285714286
"83",2019-03-24,217,197.142857142857
"84",2019-03-25,203,196.571428571429
"85",2019-03-26,211,201.428571428571
"86",2019-03-27,175,197.428571428571
"87",2019-03-28,194,200.428571428571
"88",2019-03-29,208,203.142857142857
"89",2019-03-30,241,207
"90",2019-03-31,211,206.142857142857
"91",2019-04-01,239,211.285714285714
"92",2019-04-02,202,210
"93",2019-04-03,220,216.428571428571
"94",2019-04-04,220,220.142857142857
"95",2019-04-05,201,219.142857142857
"96",2019-04-06,228,217.285714285714
"97",2019-04-07,243,221.857142857143
"98",2019-04-08,194,215.428571428571
"99",2019-04-09,188,213.428571428571
"100",2019-04-10,237,215.857142857143
"101",2019-04-11,221,216
"102",2019-04-12,216,218.142857142857
"103",2019-04-13,231,218.571428571429
"104",2019-04-14,224,215.857142857143
"105",2019-04-15,229,220.857142857143
"106",2019-04-16,200,222.571428571429
"107",2019-04-17,216,219.571428571429
"108",2019-04-18,218,219.142857142857
"109",2019-04-19,202,217.142857142857
"110",2019-04-20,231,217.142857142857
"111",2019-04-21,224,217.142857142857
"112",2019-04-22,184,210.714285714286
"113",2019-04-23,189,209.142857142857
"114",2019-04-24,217,209.285714285714
"115",2019-04-25,181,204
"116",2019-04-26,187,201.857142857143
"117",2019-04-27,199,197.285714285714
"118",2019-04-28,216,196.142857142857
"119",2019-04-29,208,199.571428571429
"120",2019-04-30,198,200.857142857143
"121",2019-05-01,279,209.714285714286
"122",2019-05-02,216,214.714285714286
"123",2019-05-03,239,222.142857142857
"124",2019-05-04,205,223
"125",2019-05-05,219,223.428571428571
"126",2019-05-06,190,220.857142857143
"127",2019-05-07,238,226.571428571429
"128",2019-05-08,222,218.428571428571
"129",2019-05-09,210,217.571428571429
"130",2019-05-10,232,216.571428571429
"131",2019-05-11,254,223.571428571429
"132",2019-05-12,220,223.714285714286
"133",2019-05-13,177,221.857142857143
"134",2019-05-14,200,216.428571428571
"135",2019-05-15,215,215.428571428571
"136",2019-05-16,235,219
"137",2019-05-17,255,222.285714285714
"138",2019-05-18,239,220.142857142857
"139",2019-05-19,236,222.428571428571
"140",2019-05-20,265,235
"141",2019-05-21,206,235.857142857143
"142",2019-05-22,216,236
"143",2019-05-23,212,232.714285714286
"144",2019-05-24,250,232
"145",2019-05-25,232,231
"146",2019-05-26,213,227.714285714286
"147",2019-05-27,248,225.285714285714
"148",2019-05-28,240,230.142857142857
"149",2019-05-29,203,228.285714285714
"150",2019-05-30,189,225
"151",2019-05-31,244,224.142857142857
"152",2019-06-01,262,228.428571428571
"153",2019-06-02,209,227.857142857143
"154",2019-06-03,225,224.571428571429
"155",2019-06-04,214,220.857142857143
"156",2019-06-05,211,222
"157",2019-06-06,225,227.142857142857
"158",2019-06-07,218,223.428571428571
"159",2019-06-08,249,221.571428571429
"160",2019-06-09,237,225.571428571429
"161",2019-06-10,207,223
"162",2019-06-11,216,223.285714285714
"163",2019-06-12,237,227
"164",2019-06-13,190,222
