"","CMPLNT_FR_DT","count","d7_rollavg"
"1",2019-01-01,299,NA
"2",2019-01-02,169,NA
"3",2019-01-03,202,NA
"4",2019-01-04,190,NA
"5",2019-01-05,175,NA
"6",2019-01-06,170,NA
"7",2019-01-07,160,195
"8",2019-01-08,197,180.428571428571
"9",2019-01-09,173,181
"10",2019-01-10,183,178.285714285714
"11",2019-01-11,208,180.857142857143
"12",2019-01-12,170,180.142857142857
"13",2019-01-13,154,177.857142857143
"14",2019-01-14,165,178.571428571429
"15",2019-01-15,181,176.285714285714
"16",2019-01-16,175,176.571428571429
"17",2019-01-17,180,176.142857142857
"18",2019-01-18,182,172.428571428571
"19",2019-01-19,203,177.142857142857
"20",2019-01-20,193,182.714285714286
"21",2019-01-21,139,179
"22",2019-01-22,181,179
"23",2019-01-23,177,179.285714285714
"24",2019-01-24,191,180.857142857143
"25",2019-01-25,188,181.714285714286
"26",2019-01-26,193,180.285714285714
"27",2019-01-27,165,176.285714285714
"28",2019-01-28,167,180.285714285714
"29",2019-01-29,156,176.714285714286
"30",2019-01-30,155,173.571428571429
"31",2019-01-31,151,167.857142857143
"32",2019-02-01,222,172.714285714286
"33",2019-02-02,170,169.428571428571
"34",2019-02-03,161,168.857142857143
"35",2019-02-04,177,170.285714285714
"36",2019-02-05,176,173.142857142857
"37",2019-02-06,144,171.571428571429
"38",2019-02-07,186,176.571428571429
"39",2019-02-08,188,171.714285714286
"40",2019-02-09,174,172.285714285714
"41",2019-02-10,190,176.428571428571
"42",2019-02-11,177,176.428571428571
"43",2019-02-12,144,171.857142857143
"44",2019-02-13,171,175.714285714286
"45",2019-02-14,186,175.714285714286
"46",2019-02-15,208,178.571428571429
"47",2019-02-16,177,179
"48",2019-02-17,177,177.142857142857
"49",2019-02-18,146,172.714285714286
"50",2019-02-19,161,175.142857142857
"51",2019-02-20,153,172.571428571429
"52",2019-02-21,163,169.285714285714
"53",2019-02-22,180,165.285714285714
"54",2019-02-23,155,162.142857142857
"55",2019-02-24,166,160.571428571429
"56",2019-02-25,179,165.285714285714
"57",2019-02-26,150,163.714285714286
"58",2019-02-27,143,162.285714285714
"59",2019-02-28,160,161.857142857143
"60",2019-03-01,214,166.714285714286
"61",2019-03-02,161,167.571428571429
"62",2019-03-03,179,169.428571428571
"63",2019-03-04,152,165.571428571429
"64",2019-03-05,181,170
"65",2019-03-06,163,172.857142857143
"66",2019-03-07,172,174.571428571429
"67",2019-03-08,196,172
"68",2019-03-09,155,171.142857142857
"69",2019-03-10,171,170
"70",2019-03-11,187,175
"71",2019-03-12,197,177.285714285714
"72",2019-03-13,146,174.857142857143
"73",2019-03-14,184,176.571428571429
"74",2019-03-15,214,179.142857142857
"75",2019-03-16,169,181.142857142857
"76",2019-03-17,147,177.714285714286
"77",2019-03-18,184,177.285714285714
"78",2019-03-19,195,177
"79",2019-03-20,195,184
"80",2019-03-21,174,182.571428571429
"81",2019-03-22,196,180
"82",2019-03-23,159,178.571428571429
"83",2019-03-24,172,182.142857142857
"84",2019-03-25,201,184.571428571429
"85",2019-03-26,200,185.285714285714
"86",2019-03-27,141,177.571428571429
"87",2019-03-28,214,183.285714285714
"88",2019-03-29,216,186.142857142857
"89",2019-03-30,219,194.714285714286
"90",2019-03-31,151,191.714285714286
"91",2019-04-01,215,193.714285714286
"92",2019-04-02,175,190.142857142857
"93",2019-04-03,190,197.142857142857
"94",2019-04-04,193,194.142857142857
"95",2019-04-05,190,190.428571428571
"96",2019-04-06,174,184
"97",2019-04-07,166,186.142857142857
"98",2019-04-08,180,181.142857142857
"99",2019-04-09,186,182.714285714286
"100",2019-04-10,186,182.142857142857
"101",2019-04-11,205,183.857142857143
"102",2019-04-12,197,184.857142857143
"103",2019-04-13,162,183.142857142857
"104",2019-04-14,188,186.285714285714
"105",2019-04-15,200,189.142857142857
"106",2019-04-16,198,190.857142857143
"107",2019-04-17,198,192.571428571429
"108",2019-04-18,182,189.285714285714
"109",2019-04-19,218,192.285714285714
"110",2019-04-20,188,196
"111",2019-04-21,181,195
"112",2019-04-22,164,189.857142857143
"113",2019-04-23,193,189.142857142857
"114",2019-04-24,206,190.285714285714
"115",2019-04-25,200,192.857142857143
"116",2019-04-26,156,184
"117",2019-04-27,171,181.571428571429
"118",2019-04-28,181,181.571428571429
"119",2019-04-29,177,183.428571428571
"120",2019-04-30,199,184.285714285714
"121",2019-05-01,267,193
"122",2019-05-02,214,195
"123",2019-05-03,214,203.285714285714
"124",2019-05-04,194,206.571428571429
"125",2019-05-05,151,202.285714285714
"126",2019-05-06,203,206
"127",2019-05-07,192,205
"128",2019-05-08,199,195.285714285714
"129",2019-05-09,190,191.857142857143
"130",2019-05-10,225,193.428571428571
"131",2019-05-11,214,196.285714285714
"132",2019-05-12,166,198.428571428571
"133",2019-05-13,159,192.142857142857
"134",2019-05-14,176,189.857142857143
"135",2019-05-15,201,190.142857142857
"136",2019-05-16,201,191.714285714286
"137",2019-05-17,227,192
