"","CMPLNT_FR_DT","count","d7_rollavg"
"1",2019-01-01,206,NA
"2",2019-01-02,221,NA
"3",2019-01-03,178,NA
"4",2019-01-04,207,NA
"5",2019-01-05,156,NA
"6",2019-01-06,135,NA
"7",2019-01-07,183,183.714285714286
"8",2019-01-08,191,181.571428571429
"9",2019-01-09,215,180.714285714286
"10",2019-01-10,176,180.428571428571
"11",2019-01-11,180,176.571428571429
"12",2019-01-12,158,176.857142857143
"13",2019-01-13,128,175.857142857143
"14",2019-01-14,152,171.428571428571
"15",2019-01-15,205,173.428571428571
"16",2019-01-16,176,167.857142857143
"17",2019-01-17,148,163.857142857143
"18",2019-01-18,179,163.714285714286
"19",2019-01-19,157,163.571428571429
"20",2019-01-20,154,167.285714285714
"21",2019-01-21,149,166.857142857143
"22",2019-01-22,179,163.142857142857
"23",2019-01-23,202,166.857142857143
"24",2019-01-24,192,173.142857142857
"25",2019-01-25,170,171.857142857143
"26",2019-01-26,156,171.714285714286
"27",2019-01-27,154,171.714285714286
"28",2019-01-28,156,172.714285714286
"29",2019-01-29,171,171.571428571429
"30",2019-01-30,158,165.285714285714
"31",2019-01-31,118,154.714285714286
"32",2019-02-01,195,158.285714285714
"33",2019-02-02,159,158.714285714286
"34",2019-02-03,125,154.571428571429
"35",2019-02-04,162,155.428571428571
"36",2019-02-05,175,156
"37",2019-02-06,155,155.571428571429
"38",2019-02-07,213,169.142857142857
"39",2019-02-08,159,164
"40",2019-02-09,167,165.142857142857
"41",2019-02-10,153,169.142857142857
"42",2019-02-11,156,168.285714285714
"43",2019-02-12,142,163.571428571429
"44",2019-02-13,178,166.857142857143
"45",2019-02-14,172,161
"46",2019-02-15,190,165.428571428571
"47",2019-02-16,176,166.714285714286
"48",2019-02-17,154,166.857142857143
"49",2019-02-18,158,167.142857142857
"50",2019-02-19,166,170.571428571429
"51",2019-02-20,142,165.428571428571
"52",2019-02-21,162,164
"53",2019-02-22,176,162
"54",2019-02-23,147,157.857142857143
"55",2019-02-24,120,153
"56",2019-02-25,141,150.571428571429
"57",2019-02-26,194,154.571428571429
"58",2019-02-27,161,157.285714285714
"59",2019-02-28,148,155.285714285714
"60",2019-03-01,209,160
"61",2019-03-02,153,160.857142857143
"62",2019-03-03,133,162.714285714286
"63",2019-03-04,140,162.571428571429
"64",2019-03-05,155,157
"65",2019-03-06,154,156
"66",2019-03-07,172,159.428571428571
"67",2019-03-08,173,154.285714285714
"68",2019-03-09,172,157
"69",2019-03-10,133,157
"70",2019-03-11,168,161
"71",2019-03-12,183,165
"72",2019-03-13,183,169.142857142857
"73",2019-03-14,173,169.285714285714
"74",2019-03-15,205,173.857142857143
"75",2019-03-16,156,171.571428571429
"76",2019-03-17,147,173.571428571429
"77",2019-03-18,171,174
"78",2019-03-19,172,172.428571428571
"79",2019-03-20,166,170
"80",2019-03-21,171,169.714285714286
"81",2019-03-22,156,162.714285714286
"82",2019-03-23,169,164.571428571429
"83",2019-03-24,148,164.714285714286
"84",2019-03-25,173,165
"85",2019-03-26,165,164
"86",2019-03-27,191,167.571428571429
"87",2019-03-28,177,168.428571428571
"88",2019-03-29,186,172.714285714286
"89",2019-03-30,141,168.714285714286
"90",2019-03-31,118,164.428571428571
"91",2019-04-01,197,167.857142857143
"92",2019-04-02,143,164.714285714286
"93",2019-04-03,169,161.571428571429
"94",2019-04-04,162,159.428571428571
"95",2019-04-05,175,157.857142857143
"96",2019-04-06,140,157.714285714286
"97",2019-04-07,132,159.714285714286
"98",2019-04-08,168,155.571428571429
"99",2019-04-09,180,160.857142857143
"100",2019-04-10,158,159.285714285714
"101",2019-04-11,180,161.857142857143
"102",2019-04-12,173,161.571428571429
"103",2019-04-13,170,165.857142857143
"104",2019-04-14,152,168.714285714286
"105",2019-04-15,196,172.714285714286
"106",2019-04-16,190,174.142857142857
"107",2019-04-17,172,176.142857142857
"108",2019-04-18,174,175.285714285714
"109",2019-04-19,184,176.857142857143
"110",2019-04-20,148,173.714285714286
"111",2019-04-21,116,168.571428571429
"112",2019-04-22,208,170.285714285714
"113",2019-04-23,200,171.714285714286
"114",2019-04-24,174,172
"115",2019-04-25,183,173.285714285714
"116",2019-04-26,177,172.285714285714
"117",2019-04-27,171,175.571428571429
"118",2019-04-28,144,179.571428571429
"119",2019-04-29,158,172.428571428571
"120",2019-04-30,201,172.571428571429
"121",2019-05-01,210,177.714285714286
