"","CMPLNT_FR_DT","count","d7_rollavg"
"1",2019-01-01,472,NA
"2",2019-01-02,177,NA
"3",2019-01-03,180,NA
"4",2019-01-04,192,NA
"5",2019-01-05,143,NA
"6",2019-01-06,107,NA
"7",2019-01-07,129,200
"8",2019-01-08,149,153.857142857143
"9",2019-01-09,138,148.285714285714
"10",2019-01-10,214,153.142857142857
"11",2019-01-11,168,149.714285714286
"12",2019-01-12,155,151.428571428571
"13",2019-01-13,112,152.142857142857
"14",2019-01-14,100,148
"15",2019-01-15,149,148
"16",2019-01-16,188,155.142857142857
"17",2019-01-17,155,146.714285714286
"18",2019-01-18,187,149.428571428571
"19",2019-01-19,134,146.428571428571
"20",2019-01-20,82,142.142857142857
"21",2019-01-21,81,139.428571428571
"22",2019-01-22,156,140.428571428571
"23",2019-01-23,176,138.714285714286
"24",2019-01-24,119,133.571428571429
"25",2019-01-25,177,132.142857142857
"26",2019-01-26,182,139
"27",2019-01-27,112,143.285714285714
"28",2019-01-28,108,147.142857142857
"29",2019-01-29,133,143.857142857143
"30",2019-01-30,133,137.714285714286
"31",2019-01-31,116,137.285714285714
"32",2019-02-01,190,139.142857142857
"33",2019-02-02,153,135
"34",2019-02-03,83,130.857142857143
"35",2019-02-04,117,132.142857142857
"36",2019-02-05,209,143
"37",2019-02-06,164,147.428571428571
"38",2019-02-07,157,153.285714285714
"39",2019-02-08,156,148.428571428571
"40",2019-02-09,161,149.571428571429
"41",2019-02-10,104,152.571428571429
"42",2019-02-11,113,152
"43",2019-02-12,93,135.428571428571
"44",2019-02-13,158,134.571428571429
"45",2019-02-14,168,136.142857142857
"46",2019-02-15,154,135.857142857143
"47",2019-02-16,153,134.714285714286
"48",2019-02-17,101,134.285714285714
"49",2019-02-18,84,130.142857142857
"50",2019-02-19,110,132.571428571429
"51",2019-02-20,78,121.142857142857
"52",2019-02-21,184,123.428571428571
"53",2019-02-22,165,125
"54",2019-02-23,164,126.571428571429
"55",2019-02-24,135,131.428571428571
"56",2019-02-25,93,132.714285714286
"57",2019-02-26,129,135.428571428571
"58",2019-02-27,138,144
"59",2019-02-28,201,146.428571428571
"60",2019-03-01,223,154.714285714286
"61",2019-03-02,142,151.571428571429
"62",2019-03-03,104,147.142857142857
"63",2019-03-04,66,143.285714285714
"64",2019-03-05,137,144.428571428571
"65",2019-03-06,163,148
"66",2019-03-07,157,141.714285714286
"67",2019-03-08,177,135.142857142857
"68",2019-03-09,181,140.714285714286
"69",2019-03-10,109,141.428571428571
"70",2019-03-11,112,148
"71",2019-03-12,202,157.285714285714
"72",2019-03-13,175,159
"73",2019-03-14,181,162.428571428571
"74",2019-03-15,171,161.571428571429
"75",2019-03-16,130,154.285714285714
"76",2019-03-17,123,156.285714285714
"77",2019-03-18,95,153.857142857143
"78",2019-03-19,152,146.714285714286
"79",2019-03-20,173,146.428571428571
"80",2019-03-21,116,137.142857142857
"81",2019-03-22,155,134.857142857143
"82",2019-03-23,153,138.142857142857
"83",2019-03-24,114,136.857142857143
"84",2019-03-25,96,137
"85",2019-03-26,188,142.142857142857
"86",2019-03-27,167,141.285714285714
"87",2019-03-28,164,148.142857142857
"88",2019-03-29,171,150.428571428571
"89",2019-03-30,132,147.428571428571
"90",2019-03-31,120,148.285714285714
"91",2019-04-01,130,153.142857142857
"92",2019-04-02,168,150.285714285714
"93",2019-04-03,204,155.571428571429
"94",2019-04-04,185,158.571428571429
"95",2019-04-05,181,160
"96",2019-04-06,158,163.714285714286
"97",2019-04-07,140,166.571428571429
"98",2019-04-08,105,163
"99",2019-04-09,148,160.142857142857
"100",2019-04-10,186,157.571428571429
"101",2019-04-11,165,154.714285714286
"102",2019-04-12,138,148.571428571429
"103",2019-04-13,126,144
"104",2019-04-14,118,140.857142857143
"105",2019-04-15,92,139
"106",2019-04-16,156,140.142857142857
"107",2019-04-17,155,135.714285714286
"108",2019-04-18,175,137.142857142857
"109",2019-04-19,185,143.857142857143
"110",2019-04-20,119,142.857142857143
"111",2019-04-21,86,138.285714285714
"112",2019-04-22,114,141.428571428571
"113",2019-04-23,137,138.714285714286
"114",2019-04-24,162,139.714285714286
"115",2019-04-25,122,132.142857142857
"116",2019-04-26,116,122.285714285714
"117",2019-04-27,111,121.142857142857
"118",2019-04-28,101,123.285714285714
"119",2019-04-29,92,120.142857142857
"120",2019-04-30,127,118.714285714286
"121",2019-05-01,205,124.857142857143
"122",2019-05-02,173,132.142857142857
"123",2019-05-03,160,138.428571428571
"124",2019-05-04,146,143.428571428571
"125",2019-05-05,76,139.857142857143
"126",2019-05-06,128,145
"127",2019-05-07,175,151.857142857143
"128",2019-05-08,195,150.428571428571
"129",2019-05-09,185,152.142857142857
"130",2019-05-10,239,163.428571428571
"131",2019-05-11,155,164.714285714286
"132",2019-05-12,82,165.571428571429
"133",2019-05-13,82,159
"134",2019-05-14,128,152.285714285714
"135",2019-05-15,189,151.428571428571
"136",2019-05-16,173,149.714285714286
"137",2019-05-17,188,142.428571428571
"138",2019-05-18,175,145.285714285714
"139",2019-05-19,104,148.428571428571
"140",2019-05-20,122,154.142857142857
"141",2019-05-21,187,162.571428571429
"142",2019-05-22,172,160.142857142857
"143",2019-05-23,161,158.428571428571
"144",2019-05-24,181,157.428571428571
"145",2019-05-25,141,152.571428571429
"146",2019-05-26,119,154.714285714286
"147",2019-05-27,122,154.714285714286
"148",2019-05-28,121,145.285714285714
"149",2019-05-29,127,138.857142857143
"150",2019-05-30,125,133.714285714286
"151",2019-05-31,157,130.285714285714
"152",2019-06-01,184,136.428571428571
"153",2019-06-02,107,134.714285714286
"154",2019-06-03,140,137.285714285714
"155",2019-06-04,160,142.857142857143
"156",2019-06-05,203,153.714285714286
"157",2019-06-06,149,157.142857142857
"158",2019-06-07,163,158
"159",2019-06-08,120,148.857142857143
"160",2019-06-09,123,151.142857142857
"161",2019-06-10,91,144.142857142857
"162",2019-06-11,155,143.428571428571
"163",2019-06-12,195,142.285714285714
"164",2019-06-13,134,140.142857142857
"165",2019-06-14,149,138.142857142857
"166",2019-06-15,154,143
"167",2019-06-16,85,137.571428571429
"168",2019-06-17,110,140.285714285714
"169",2019-06-18,100,132.428571428571
"170",2019-06-19,159,127.285714285714
"171",2019-06-20,149,129.428571428571
"172",2019-06-21,174,133
"173",2019-06-22,122,128.428571428571
"174",2019-06-23,95,129.857142857143
"175",2019-06-24,87,126.571428571429
"176",2019-06-25,114,128.571428571429
"177",2019-06-26,175,130.857142857143
"178",2019-06-27,113,125.714285714286
"179",2019-06-28,131,119.571428571429
"180",2019-06-29,100,116.428571428571
"181",2019-06-30,100,117.142857142857
"182",2019-07-01,125,122.571428571429
"183",2019-07-02,179,131.857142857143
"184",2019-07-03,169,131
"185",2019-07-04,160,137.714285714286
"186",2019-07-05,225,151.142857142857
"187",2019-07-06,154,158.857142857143
"188",2019-07-07,97,158.428571428571
"189",2019-07-08,120,157.714285714286
"190",2019-07-09,167,156
"191",2019-07-10,198,160.142857142857
"192",2019-07-11,174,162.142857142857
"193",2019-07-12,162,153.142857142857
"194",2019-07-13,141,151.285714285714
"195",2019-07-14,84,149.428571428571
"196",2019-07-15,135,151.571428571429
"197",2019-07-16,162,150.857142857143
"198",2019-07-17,183,148.714285714286
"199",2019-07-18,198,152.142857142857
"200",2019-07-19,168,153
"201",2019-07-20,131,151.571428571429
"202",2019-07-21,95,153.142857142857
"203",2019-07-22,86,146.142857142857
"204",2019-07-23,138,142.714285714286
"205",2019-07-24,196,144.571428571429
"206",2019-07-25,196,144.285714285714
"207",2019-07-26,169,144.428571428571
"208",2019-07-27,132,144.571428571429
"209",2019-07-28,108,146.428571428571
"210",2019-07-29,100,148.428571428571
"211",2019-07-30,166,152.428571428571
"212",2019-07-31,170,148.714285714286
"213",2019-08-01,173,145.428571428571
"214",2019-08-02,196,149.285714285714
"215",2019-08-03,142,150.714285714286
"216",2019-08-04,125,153.142857142857
"217",2019-08-05,94,152.285714285714
"218",2019-08-06,142,148.857142857143
"219",2019-08-07,145,145.285714285714
"220",2019-08-08,193,148.142857142857
"221",2019-08-09,158,142.714285714286
"222",2019-08-10,145,143.142857142857
"223",2019-08-11,113,141.428571428571
"224",2019-08-12,102,142.571428571429
"225",2019-08-13,162,145.428571428571
"226",2019-08-14,209,154.571428571429
"227",2019-08-15,188,153.857142857143
"228",2019-08-16,179,156.857142857143
"229",2019-08-17,152,157.857142857143
"230",2019-08-18,108,157.142857142857
"231",2019-08-19,59,151
"232",2019-08-20,122,145.285714285714
"233",2019-08-21,131,134.142857142857
"234",2019-08-22,111,123.142857142857
"235",2019-08-23,128,115.857142857143
"236",2019-08-24,101,108.571428571429
"237",2019-08-25,82,104.857142857143
"238",2019-08-26,84,108.428571428571
"239",2019-08-27,91,104
"240",2019-08-28,156,107.571428571429
"241",2019-08-29,111,107.571428571429
"242",2019-08-30,172,113.857142857143
"243",2019-08-31,131,118.142857142857
"244",2019-09-01,139,126.285714285714
"245",2019-09-02,90,127.142857142857
"246",2019-09-03,138,133.857142857143
"247",2019-09-04,144,132.142857142857
"248",2019-09-05,149,137.571428571429
"249",2019-09-06,157,135.428571428571
"250",2019-09-07,130,135.285714285714
"251",2019-09-08,100,129.714285714286
"252",2019-09-09,98,130.857142857143
"253",2019-09-10,128,129.428571428571
"254",2019-09-11,169,133
"255",2019-09-12,177,137
"256",2019-09-13,171,139
"257",2019-09-14,123,138
"258",2019-09-15,113,139.857142857143
"259",2019-09-16,109,141.428571428571
"260",2019-09-17,135,142.428571428571
"261",2019-09-18,176,143.428571428571
"262",2019-09-19,188,145
"263",2019-09-20,190,147.714285714286
"264",2019-09-21,140,150.142857142857
"265",2019-09-22,98,148
"266",2019-09-23,81,144
"267",2019-09-24,142,145
"268",2019-09-25,144,140.428571428571
"269",2019-09-26,159,136.285714285714
"270",2019-09-27,166,132.857142857143
"271",2019-09-28,116,129.428571428571
"272",2019-09-29,71,125.571428571429
"273",2019-09-30,91,127
"274",2019-10-01,174,131.571428571429
"275",2019-10-02,165,134.571428571429
"276",2019-10-03,118,128.714285714286
"277",2019-10-04,93,118.285714285714
"278",2019-10-05,130,120.285714285714
"279",2019-10-06,105,125.142857142857
"280",2019-10-07,94,125.571428571429
"281",2019-10-08,164,124.142857142857
"282",2019-10-09,158,123.142857142857
"283",2019-10-10,211,136.428571428571
"284",2019-10-11,194,150.857142857143
"285",2019-10-12,135,151.571428571429
"286",2019-10-13,85,148.714285714286
"287",2019-10-14,91,148.285714285714
"288",2019-10-15,160,147.714285714286
"289",2019-10-16,128,143.428571428571
"290",2019-10-17,185,139.714285714286
"291",2019-10-18,141,132.142857142857
"292",2019-10-19,117,129.571428571429
"293",2019-10-20,85,129.571428571429
"294",2019-10-21,103,131.285714285714
"295",2019-10-22,130,127
"296",2019-10-23,149,130
"297",2019-10-24,155,125.714285714286
"298",2019-10-25,170,129.857142857143
"299",2019-10-26,126,131.142857142857
"300",2019-10-27,72,129.285714285714
"301",2019-10-28,89,127.285714285714
"302",2019-10-29,115,125.142857142857
"303",2019-10-30,135,123.142857142857
"304",2019-10-31,129,119.428571428571
"305",2019-11-01,195,123
"306",2019-11-02,127,123.142857142857
