"","CMPLNT_FR_DT","count","d7_rollavg"
"1",2019-01-01,841,NA
"2",2019-01-02,492,NA
"3",2019-01-03,485,NA
"4",2019-01-04,523,NA
"5",2019-01-05,484,NA
"6",2019-01-06,418,NA
"7",2019-01-07,441,526.285714285714
"8",2019-01-08,458,471.571428571429
"9",2019-01-09,445,464.857142857143
"10",2019-01-10,444,459
"11",2019-01-11,488,454
"12",2019-01-12,444,448.285714285714
"13",2019-01-13,432,450.285714285714
"14",2019-01-14,444,450.714285714286
"15",2019-01-15,446,449
"16",2019-01-16,434,447.428571428571
"17",2019-01-17,450,448.285714285714
"18",2019-01-18,464,444.857142857143
"19",2019-01-19,453,446.142857142857
"20",2019-01-20,426,445.285714285714
"21",2019-01-21,347,431.428571428571
"22",2019-01-22,432,429.428571428571
"23",2019-01-23,461,433.285714285714
"24",2019-01-24,442,432.142857142857
"25",2019-01-25,516,439.571428571429
"26",2019-01-26,462,440.857142857143
"27",2019-01-27,410,438.571428571429
"28",2019-01-28,427,450
"29",2019-01-29,426,449.142857142857
"30",2019-01-30,428,444.428571428571
"31",2019-01-31,351,431.428571428571
"32",2019-02-01,590,442
"33",2019-02-02,465,442.428571428571
"34",2019-02-03,433,445.714285714286
"35",2019-02-04,512,457.857142857143
"36",2019-02-05,464,463.285714285714
"37",2019-02-06,459,467.714285714286
"38",2019-02-07,457,482.857142857143
"39",2019-02-08,523,473.285714285714
"40",2019-02-09,481,475.571428571429
"41",2019-02-10,437,476.142857142857
"42",2019-02-11,465,469.428571428571
"43",2019-02-12,406,461.142857142857
"44",2019-02-13,452,460.142857142857
"45",2019-02-14,494,465.428571428571
"46",2019-02-15,507,463.142857142857
"47",2019-02-16,434,456.428571428571
"48",2019-02-17,439,456.714285714286
"49",2019-02-18,402,447.714285714286
"50",2019-02-19,442,452.857142857143
"51",2019-02-20,426,449.142857142857
"52",2019-02-21,435,440.714285714286
"53",2019-02-22,424,428.857142857143
"54",2019-02-23,455,431.857142857143
"55",2019-02-24,447,433
"56",2019-02-25,399,432.571428571429
"57",2019-02-26,383,424.142857142857
"58",2019-02-27,419,423.142857142857
"59",2019-02-28,444,424.428571428571
"60",2019-03-01,581,446.857142857143
"61",2019-03-02,436,444.142857142857
"62",2019-03-03,432,442
"63",2019-03-04,380,439.285714285714
"64",2019-03-05,411,443.285714285714
"65",2019-03-06,419,443.285714285714
"66",2019-03-07,431,441.428571428571
"67",2019-03-08,458,423.857142857143
"68",2019-03-09,429,422.857142857143
"69",2019-03-10,469,428.142857142857
"70",2019-03-11,514,447.285714285714
"71",2019-03-12,479,457
"72",2019-03-13,481,465.857142857143
"73",2019-03-14,435,466.428571428571
"74",2019-03-15,532,477
"75",2019-03-16,440,478.571428571429
"76",2019-03-17,439,474.285714285714
"77",2019-03-18,473,468.428571428571
"78",2019-03-19,462,466
"79",2019-03-20,493,467.714285714286
"80",2019-03-21,456,470.714285714286
"81",2019-03-22,470,461.857142857143
"82",2019-03-23,443,462.285714285714
"83",2019-03-24,454,464.428571428571
"84",2019-03-25,501,468.428571428571
"85",2019-03-26,475,470.285714285714
"86",2019-03-27,401,457.142857142857
"87",2019-03-28,496,462.857142857143
"88",2019-03-29,525,470.714285714286
"89",2019-03-30,537,484.142857142857
"90",2019-03-31,444,482.714285714286
"91",2019-04-01,554,490.285714285714
"92",2019-04-02,461,488.285714285714
"93",2019-04-03,475,498.857142857143
"94",2019-04-04,493,498.428571428571
"95",2019-04-05,487,493
"96",2019-04-06,498,487.428571428571
"97",2019-04-07,475,491.857142857143
"98",2019-04-08,464,479
"99",2019-04-09,475,481
"100",2019-04-10,570,494.571428571429
"101",2019-04-11,489,494
"102",2019-04-12,493,494.857142857143
"103",2019-04-13,471,491
"104",2019-04-14,468,490
"105",2019-04-15,483,492.714285714286
"106",2019-04-16,495,495.571428571429
"107",2019-04-17,482,483
"108",2019-04-18,457,478.428571428571
"109",2019-04-19,511,481
"110",2019-04-20,520,488
"111",2019-04-21,449,485.285714285714
"112",2019-04-22,456,481.428571428571
"113",2019-04-23,500,482.142857142857
"114",2019-04-24,528,488.714285714286
"115",2019-04-25,464,489.714285714286
"116",2019-04-26,412,475.571428571429
"117",2019-04-27,460,467
"118",2019-04-28,481,471.571428571429
"119",2019-04-29,524,481.285714285714
"120",2019-04-30,461,475.714285714286
"121",2019-05-01,612,487.714285714286
"122",2019-05-02,519,495.571428571429
"123",2019-05-03,531,512.571428571429
"124",2019-05-04,477,515
"125",2019-05-05,471,513.571428571429
"126",2019-05-06,467,505.428571428571
"127",2019-05-07,539,516.571428571429
"128",2019-05-08,512,502.285714285714
"129",2019-05-09,508,500.714285714286
"130",2019-05-10,543,502.428571428571
"131",2019-05-11,505,506.428571428571
"132",2019-05-12,448,503.142857142857
"133",2019-05-13,437,498.857142857143
"134",2019-05-14,475,489.714285714286
"135",2019-05-15,498,487.714285714286
