"","CMPLNT_FR_DT","count","d7_rollavg"
"1",2019-01-01,595,NA
"2",2019-01-02,360,NA
"3",2019-01-03,424,NA
"4",2019-01-04,432,NA
"5",2019-01-05,377,NA
"6",2019-01-06,382,NA
"7",2019-01-07,397,423.857142857143
"8",2019-01-08,389,394.428571428571
"9",2019-01-09,401,400.285714285714
"10",2019-01-10,408,398
"11",2019-01-11,409,394.714285714286
"12",2019-01-12,376,394.571428571429
"13",2019-01-13,321,385.857142857143
"14",2019-01-14,368,381.714285714286
"15",2019-01-15,405,384
"16",2019-01-16,396,383.285714285714
"17",2019-01-17,364,377
"18",2019-01-18,407,376.714285714286
"19",2019-01-19,392,379
"20",2019-01-20,350,383.142857142857
"21",2019-01-21,263,368.142857142857
"22",2019-01-22,329,357.285714285714
"23",2019-01-23,355,351.428571428571
"24",2019-01-24,371,352.428571428571
"25",2019-01-25,408,352.571428571429
"26",2019-01-26,405,354.428571428571
"27",2019-01-27,373,357.714285714286
"28",2019-01-28,374,373.571428571429
"29",2019-01-29,350,376.571428571429
"30",2019-01-30,308,369.857142857143
"31",2019-01-31,291,358.428571428571
"32",2019-02-01,470,367.285714285714
"33",2019-02-02,399,366.428571428571
"34",2019-02-03,373,366.428571428571
"35",2019-02-04,403,370.571428571429
"36",2019-02-05,342,369.428571428571
"37",2019-02-06,357,376.428571428571
"38",2019-02-07,380,389.142857142857
"39",2019-02-08,423,382.428571428571
"40",2019-02-09,372,378.571428571429
"41",2019-02-10,399,382.285714285714
"42",2019-02-11,392,380.714285714286
"43",2019-02-12,356,382.714285714286
"44",2019-02-13,354,382.285714285714
"45",2019-02-14,383,382.714285714286
"46",2019-02-15,462,388.285714285714
"47",2019-02-16,428,396.285714285714
"48",2019-02-17,395,395.714285714286
"49",2019-02-18,342,388.571428571429
"50",2019-02-19,358,388.857142857143
"51",2019-02-20,338,386.571428571429
"52",2019-02-21,364,383.857142857143
"53",2019-02-22,404,375.571428571429
"54",2019-02-23,398,371.285714285714
"55",2019-02-24,391,370.714285714286
"56",2019-02-25,384,376.714285714286
"57",2019-02-26,344,374.714285714286
"58",2019-02-27,350,376.428571428571
"59",2019-02-28,390,380.142857142857
"60",2019-03-01,439,385.142857142857
"61",2019-03-02,370,381.142857142857
"62",2019-03-03,407,383.428571428571
"63",2019-03-04,346,378
"64",2019-03-05,406,386.857142857143
"65",2019-03-06,338,385.142857142857
"66",2019-03-07,321,375.285714285714
"67",2019-03-08,401,369.857142857143
"68",2019-03-09,382,371.571428571429
"69",2019-03-10,386,368.571428571429
"70",2019-03-11,400,376.285714285714
"71",2019-03-12,420,378.285714285714
"72",2019-03-13,338,378.285714285714
"73",2019-03-14,392,388.428571428571
"74",2019-03-15,501,402.714285714286
"75",2019-03-16,436,410.428571428571
"76",2019-03-17,385,410.285714285714
"77",2019-03-18,416,412.571428571429
"78",2019-03-19,370,405.428571428571
"79",2019-03-20,411,415.857142857143
"80",2019-03-21,353,410.285714285714
"81",2019-03-22,440,401.571428571429
"82",2019-03-23,396,395.857142857143
"83",2019-03-24,388,396.285714285714
"84",2019-03-25,393,393
"85",2019-03-26,418,399.857142857143
"86",2019-03-27,376,394.857142857143
